,anger,joy,disgust,sadness,surprise,anticipation,positive,fear,trust,negative,valid_tweet_count
pwslive.csv,0.012729680167462096,0.026324316565159142,0.006732812036680694,0.007782577196055503,0.011327302469889214,0.034921407662120145,0.07165290235934194,0.01482203164485019,0.03522737004763471,0.030389805441325964,216.0
AroundChiTown.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CoachMattBLiTZ.csv,0.00977566772169471,0.04171804483761006,0.0038980509745127436,0.01117774446110278,0.013366995073891625,0.018757799671592773,0.09478516933706985,0.029175828752290522,0.03276122477976698,0.02947340813720124,20.0
MKBHD.csv,0.011949948497792639,0.025804884081171663,0.007331906607959193,0.011426711671736277,0.013123044607621244,0.031001723909784413,0.051892552262271366,0.011884646705962468,0.03381997560348255,0.02306762591297607,44534.0
lindseywasson.csv,0.012805613542686162,0.02450680439986762,0.009996540111336162,0.011853656029819427,0.014358160589503021,0.028129747443135893,0.05225905804790448,0.014624147879575989,0.03229778728808181,0.027801767713843524,13060.0
mattdoty.csv,0.016568139564655245,0.017609800756962064,0.01429805192871395,0.01633136056173564,0.011962989186805542,0.023178869023304356,0.044790078746832176,0.02768518289116772,0.02588777423528397,0.033295087891316626,41.0
blessings4life.csv,0.015089664922768163,0.026913941474800803,0.010247744493257667,0.02093092540203983,0.011205321896406864,0.04188986891528248,0.06742739804529149,0.028853236515246794,0.04405227056973505,0.037471392289190865,121.0
thedrillsgt_.csv,0.014404176848352074,0.046861072190312464,0.007962046249014735,0.010062666045962237,0.017798470599505574,0.041140798495683986,0.0880193811417968,0.022071025038454966,0.05229868817262813,0.030583881004317897,405.0
mamalium.csv,0.016024731972524478,0.05335320742453675,0.008082803640602706,0.014202192215664933,0.01808291873864707,0.04898148452320706,0.08042865055920181,0.018037599118931654,0.049488251328784275,0.03129683371442359,754.0
whatlisacooks.csv,0.0040940396504350746,0.02039094143155489,0.004399875988368705,0.0035677605119969814,0.007038185204660533,0.020669067110976862,0.046963959206046055,0.006186541690526481,0.036603323641538475,0.011008337767994893,2638.0
marissssa_mcbri.csv,0.012410507897903338,0.029499222517610092,0.010650360527929205,0.015339762841990678,0.013070544745911253,0.028733812980124656,0.05488613759145746,0.017960041589267367,0.0364085523518329,0.03284026618426651,863.0
Forest_Theater_.csv,0.011015800916372642,0.038568636965937785,0.004381992969847697,0.008926433313726926,0.019415492863259713,0.038388878292722424,0.06619109413891451,0.008403113504961842,0.04079720152884714,0.01102316608809517,522.0
Car_o_lina.csv,0.015193880654240944,0.027735981316117937,0.011721375403110093,0.014952547403086578,0.011581484153660941,0.026100487674612562,0.04571304646921208,0.015758553255080444,0.029699640826027367,0.03135779230044678,2570.0
Blargers.csv,0.016907858451383182,0.032412585146772845,0.014328799455635706,0.015806135807238803,0.018094742858118965,0.03479961963079418,0.05555689771602839,0.019191606526698973,0.03358424368099297,0.03491381733801039,1336.0
ChrisVossPodcas.csv,0.012405725436932021,0.031562252022178355,0.007956711838229186,0.01359123356908793,0.01280040417828959,0.037276967041410376,0.07211431076070267,0.016642271038701088,0.046169353654387915,0.028762935196764122,13580.0
