,disgust,trust,surprise,fear,sadness,joy,negative,anticipation,anger,positive,valid_tweet_count
ChargerSix.csv,0.006607871416233785,0.02552009481671069,0.011701721189886516,0.011335924591491933,0.010477948413318708,0.0118108178518664,0.024755638976723546,0.023065389680562928,0.014052069254520292,0.03658710449308624,245.0
JerryNoland007.csv,0.019463538793370278,0.07757038058387304,0.020645029724924466,0.029016475504288174,0.018309393866168897,0.05972575549807698,0.0483029162944689,0.039912569154968096,0.019577377376425443,0.08990047776650797,940.0
CyberGopher.csv,0.0022802199433528355,0.0325489542261807,0.011919265734766597,0.010977325313629872,0.006222538736625744,0.02752294900689339,0.015519677239651229,0.02447968967217056,0.008766358563789114,0.058848095380692744,3575.0
mb_hatch.csv,0.02175801524206223,0.04349809781680452,0.016291968081795703,0.02692613787665484,0.024030860005465872,0.019329431336895263,0.06099284611421567,0.022809385952703487,0.02746932018959455,0.05859357442675018,3960.0
NickBreinerCPP.csv,0.0036812782596696595,0.05562847483915493,0.010546087517863999,0.021438891405159963,0.008424448870420593,0.021866096320003043,0.02083226769139039,0.024189436724544162,0.006433624642919109,0.07445306822540428,284.0
jackeva53658017.csv,0.021283007869304378,0.061211866562638814,0.012366973221481925,0.04217331821549599,0.016035468082535156,0.057529631313082384,0.04456408601547095,0.04699375510832573,0.022310238536622496,0.08814474748367558,62.0
DavidMuirJr.csv,0.0048293936938933555,0.043729726388752485,0.008592236453256637,0.0113826297348511,0.007944101957331022,0.02823509680420172,0.0173740754045797,0.031005963452963737,0.007632548340656839,0.07025490217847766,6672.0
kody_kirk.csv,0.012558874661650555,0.03835131937502237,0.01599039756385187,0.016664088500610658,0.017422372028188936,0.029495049822422608,0.03266042773381226,0.03058278880341684,0.015278570345837345,0.05460122960236597,6736.0
JustmeRobW.csv,0.010948975229145461,0.024275153787511248,0.014508519407473115,0.012363567581018073,0.010957663871521738,0.017469004261768176,0.03218239559235564,0.016379560457496087,0.013385957247064425,0.03703262470649171,19430.0
TrueBennett.csv,0.020080621260170198,0.043670813819718136,0.014831762362153915,0.034696224732613204,0.026354829368737478,0.0217916057311294,0.053786588887427815,0.02686231769057725,0.026386115464771966,0.05855678820211036,9861.0
WesleyTSmith3.csv,0.0026481626952954526,0.02168901801309522,0.004919052347022851,0.0073622118870906505,0.0053533138004928284,0.00904193487859722,0.011249360759136025,0.010276371612911447,0.003620193298581543,0.02756920349241749,67.0
Zombie_Mel_.csv,0.018746023751907596,0.039995462109978515,0.019739614589005257,0.01694759507536266,0.01857503573762159,0.046300479269644076,0.037198874190713625,0.03966720055670262,0.01814705882462856,0.0724195663173964,4786.0
dorknrok22.csv,0.01697898582397936,0.05421490147523333,0.0204744236471514,0.026581798641868642,0.024043376243218676,0.04593743911011543,0.04666511435727269,0.05216220788890811,0.028847049011117436,0.08007214782674776,106.0
ericlarson171.csv,0.025792830957638256,0.03511178878558556,0.010931579561258705,0.020260009598244887,0.014188581026816319,0.018024486654165794,0.06693221608231746,0.01785331948871502,0.02315863874687403,0.04542481741048031,165.0
andrewrkirsch.csv,0.026032614111707764,0.04220074767585538,0.01746643313607549,0.03345855682117086,0.033810789078042254,0.026829252390196644,0.05871399306293244,0.0340509218039598,0.036244362364377336,0.061593566567597305,84.0
k_kamar.csv,0.00837248267719518,0.03668583673846251,0.009703429704974788,0.02262090047764919,0.013281102574502861,0.015498639211070739,0.024561421621072877,0.023660324400024326,0.006762790473197713,0.07440110757102317,130.0
hdwrench99.csv,0.010268722683234303,0.03539660338151755,0.010758798301754614,0.016543929578116727,0.014541981083243755,0.024440028821867937,0.029326305747278097,0.01973557290606282,0.01603237793948394,0.04817460427313113,161.0
StevenBeynon.csv,0.013265696826726762,0.04049016667141265,0.013747244655049297,0.027592093649270982,0.017383754379647523,0.0203928316729333,0.04212312623127568,0.02683624600782027,0.02237118895842401,0.055740981788370635,40775.0
ChiefsDanny58.csv,0.017142018143555045,0.03799950958307925,0.01410173408738677,0.021409864947401023,0.019944459236660213,0.02286397559371858,0.04782101278159269,0.025045606847374575,0.025131571523866473,0.0495536838313956,2040.0
ServiceK9s4Vets.csv,0.0029901304572995647,0.04195578403058425,0.007429052231884303,0.02262773229342747,0.009239059935817657,0.01516623079165006,0.02795236384027663,0.017413458339442144,0.010348863746684787,0.05761086619966368,482.0
MattDrikas.csv,0.0103919162018289,0.04744646930076432,0.016092973007996968,0.019255657195873865,0.012748519603140033,0.030885119109609057,0.030111399420092867,0.03338594762507064,0.014829138898822841,0.06504625995725662,360.0
CarolinePestel.csv,0.00730165891456214,0.030523683430654373,0.012637576514731864,0.008394044812450884,0.01009183732143884,0.03283424307452852,0.01831319744981984,0.02841246413662056,0.004586088589883657,0.06024943163033207,155.0
marccgonzo.csv,0.013485969059988178,0.040419371802251046,0.018186153753404006,0.0204043231507507,0.017249643208780457,0.032499900013653556,0.03675108186157834,0.029304250950085566,0.016814905095064038,0.06176982982840635,2026.0
fobosays.csv,0.007011822767934651,0.054794930612961985,0.01104109169124649,0.018742658774152314,0.019497783111400064,0.053992030561014905,0.03741898635393258,0.03951397056985621,0.02484896646714731,0.08287384397081393,52.0
JMFGoose.csv,0.010436352058092065,0.040472836605280525,0.017276242052170005,0.01906121989154323,0.016943795762239332,0.03463492935097731,0.031209643548447488,0.03214383785514926,0.011994750647005462,0.06523141339087533,1518.0
macleod842.csv,0.012785715867807591,0.041912177279491716,0.019930849580647905,0.017974530201899548,0.015266462027501747,0.0344231785079058,0.029780883989589568,0.03536166986101592,0.01583494482045346,0.06784156909495305,1607.0
GeneEdwardsSCMO.csv,0.0026154193567822417,0.07419891528038448,0.009527933618126738,0.006480508990668756,0.005979315536656679,0.04502045414884864,0.012205198071433672,0.048488584921628754,0.004905177633439625,0.09875768543573077,8095.0
realtoyaboyd.csv,0.011583128188646895,0.0543598552058678,0.009250506659003586,0.009424245376148698,0.010552116981180248,0.040176841366877235,0.02567964539796536,0.02516102105425639,0.013607998128620047,0.08170892779849497,1509.0
thedrillsgt.csv,0.007962046249014733,0.05229868817262824,0.01779847059950557,0.022071025038454966,0.010062666045962237,0.0468610721903125,0.030583881004317928,0.04114079849568405,0.01440417684835207,0.08801938114179701,810.0
ChattJazz.csv,0.022420846683204244,0.044082796201710475,0.027973060254238683,0.03262644546286048,0.026138999752840036,0.022145674956008717,0.06145960947446839,0.024047348299030505,0.03198289422265829,0.059921873312441844,13583.0
TheSchlewis.csv,0.00911396492320436,0.04508757749188734,0.013424038743057278,0.014831133882288057,0.015549328916806493,0.022271400173583183,0.02692554626650859,0.029697907586003255,0.011577047944384801,0.05893433442851658,1463.0
AndreaBillingsl.csv,0.017039519250277052,0.049272688575255755,0.014165925590470653,0.024753128631108765,0.019814453151780077,0.024891809816807713,0.04252904583262985,0.025345101584438923,0.022484792111154134,0.06415734247050031,1899.0
jfrie1424.csv,0.009940066133542232,0.03857454402230064,0.010738453398629642,0.016464460386848574,0.008353496389184053,0.03114839547108097,0.03284151567302541,0.027928951374436895,0.013214274591006282,0.05648246836609697,1834.0
BDALE1.csv,0.008811429407363501,0.0407161828463964,0.02303322640383658,0.020201308009169795,0.01374594777241587,0.03132347834116425,0.03701327623514993,0.040003359482682216,0.022068212711046916,0.061322239418044495,703.0
RodReyesMota.csv,0.004360554163185743,0.04296532713211998,0.01728711407987724,0.009536419964051543,0.0057882078934710516,0.035199420199546395,0.010737876518768967,0.03869045524908528,0.005573843021402136,0.06536213413818633,120.0
gachervenak.csv,0.012252420846157757,0.01910245850121411,0.010767505223975599,0.02444795764849116,0.014921360527840174,0.020716922107069356,0.03948950413785498,0.01934992541437051,0.023328403074588576,0.03445151791210002,4970.0
bolingerj2004.csv,0.00866077198032149,0.04802428649482001,0.016727084751248587,0.02191299161544327,0.014967445541961031,0.02999797690671627,0.036799605893088366,0.029316848709841484,0.01807786939275717,0.071561404228854,2537.0
WarScar666.csv,0.013755761619887792,0.032335098878397105,0.017150958760066053,0.021733304715096543,0.017023659983240205,0.021037288325723495,0.04244399638241203,0.021056309474536804,0.020048733205207264,0.0484941674175249,1890.0
tifflovesoils.csv,0.01692271889267405,0.037343864758812635,0.020203691701135337,0.026996277576629,0.020409237862655936,0.02486445867530247,0.04710561060504366,0.022704862351456846,0.022148317069512716,0.05296577019158915,21827.0
jeffisbluenow.csv,0.019161302105333636,0.03884729074722361,0.01800295748506332,0.021878426831466694,0.017349815947944765,0.021169104564938895,0.04478820347767117,0.025316449018660245,0.022360487154052852,0.05682826224273985,1686.0
junebug1387.csv,0.011179265493171693,0.03652353156457247,0.013498153955099181,0.01671383912523167,0.012810199400312649,0.03200937843028355,0.026715475158945314,0.02185532809857307,0.01390981132697367,0.06045168389670727,1503.0
DanielH_DC.csv,0.008552779165128397,0.0429445756172772,0.013605774449964192,0.009211303300786762,0.014337198061732472,0.0211919266598819,0.025210207594643905,0.036590346720573555,0.014250048565853263,0.06697782065221909,247.0
MsSaltyGiggles.csv,0.013595239307626017,0.02503078804479227,0.011478557110785331,0.015128445504027898,0.015838346632917027,0.021864588784339015,0.030799752106420268,0.01975062507816685,0.01609187491625916,0.04402883428816276,1633.0
brianknoch.csv,0.026946738471450887,0.049665150969435475,0.016094861246531245,0.03528551197960381,0.025152475144056677,0.0417203470945374,0.060693615313074975,0.03649559094983408,0.027415058736402508,0.07068212503362857,600.0
jeff_schlapp.csv,0.010301558523754013,0.06615113847739693,0.012655794459312064,0.016410998478297387,0.01267234646455711,0.0557204621357223,0.0318460671780952,0.03453312089161673,0.0135894915551866,0.091689214879372,1332.0
Adrienne_Acts.csv,0.012432999980369805,0.034918574983263395,0.014661217368830236,0.017433084818699013,0.015729510665718704,0.031653861224643795,0.033562691386038596,0.031500389587186636,0.015479881126787741,0.06014552757888493,3362.0
TheRealFitzNYC.csv,0.003976279728506205,0.046940003533367664,0.010850534288771458,0.014817436259122213,0.007928450152862592,0.016036006771574882,0.02653001168064822,0.025141407990760888,0.010234323979640346,0.06687134821866826,389.0
leftwingcatmom.csv,0.00978633835388125,0.028733658002714144,0.009771577785317263,0.009518110975644619,0.008312733803408901,0.0358388801517939,0.018045473629896096,0.017342952161728233,0.010895614337726185,0.05807010238057079,6560.0
hparichart.csv,0.0009873296644652815,0.0018422254162533884,0.0007221505390219946,0.001126117563696976,0.0004689376037972839,0.001380862056409367,0.0016262976245788546,0.0013432658991320845,0.0006205634715356838,0.0024432394962583355,4232.0
LynnJauregui.csv,0.01836205751986653,0.0450443711419851,0.025655188185046068,0.0216068061858747,0.019307636970449762,0.021830449676196562,0.03926921964234257,0.026009087299699557,0.018319281576071683,0.06904076555461335,756.0
StephanieTA_BAE.csv,0.0024622805093318105,0.05739138863940071,0.015711791971437745,0.014561508769236797,0.005752510638250791,0.041676914388270536,0.017920892768899382,0.04381793338713879,0.009564277831113027,0.10796581097762867,765.0
EcyorRoycex.csv,0.010638297872340425,0.00384160756501182,0.0028368794326241132,0.01297638531681085,0.00816869300911854,0.014479905437352246,0.021963408931494035,0.006137479541734861,0.01905541267243395,0.020348848759361902,188.0
iamdetashia.csv,0.0029153678193383453,0.08697943703340731,0.021501630490829992,0.01923206439972025,0.008430082991748392,0.07807242076893349,0.014792060648744805,0.06103868923309446,0.0050686080723355426,0.1409986770136831,1484.0
1badmonkey.csv,0.021035018653367463,0.0588822579379362,0.01992184827449015,0.02365902990443244,0.01292295440064574,0.0406001227351978,0.0378034433026743,0.04344104543817475,0.027076213735297654,0.10530566111832002,192.0
WilliamNickerso.csv,0.009128687869148666,0.024883179536389424,0.008848241261098086,0.013245117427215078,0.009573189103183475,0.014225057001170093,0.03150216074780651,0.015333401119104827,0.01405367936366554,0.03463091296511358,2289.0
MeVictorD.csv,0.01245533373767061,0.04650454869127052,0.02009264760937743,0.029590791064271253,0.021890698161827985,0.034966929945266796,0.04301995221730463,0.030941607762276682,0.022417158611447646,0.06993313674286672,11259.0
JayskerHater.csv,0.014702617674110447,0.037431816238387754,0.01570089049600922,0.017707005902229237,0.016715947662074678,0.026957522277421417,0.03603029083652995,0.030037151058685027,0.02041653573507055,0.05484974071092471,4867.0
OsbertUSMCVET.csv,0.014367202638526769,0.04878793259791514,0.013417344085019605,0.03373997576471443,0.017583174620181184,0.021791726928817652,0.04677808013806547,0.026859791141080874,0.023388030889194646,0.06544491141856379,1412.0
